Street 	Side 	Low 	High 	Elementary 	Middle 	High School
North Van Dien Ave 	All 	208 	366 	Travell 	Benjamin Franklin MS 	Ridgewood High School
North Walnut St 	All 	8 	51 	Orchard 	George Washington MS 	Ridgewood High School
North Walnut St 	All 	76 	256 	Ridge 	George Washington MS 	Ridgewood High School
Northern Pky 	All 	151 	151 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Northern Pky 	All 	241 	596 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Oak St 	All 	9 	56 	Orchard 	George Washington MS 	Ridgewood High School
Oak St 	All 	68 	320 	Ridge 	George Washington MS 	Ridgewood High School
Oak St 	All 	408 	448 	Willard 	George Washington MS 	Ridgewood High School
Old Stone Rd 	All 	448 	484 	Willard 	George Washington MS 	Ridgewood High School
Olivia St 	All 	238 	255 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Orchard Pl 	All 	175 	310 	Orchard 	George Washington MS 	Ridgewood High School
Orchard Pl 	All 	320 	333 	Ridge 	George Washington MS 	Ridgewood High School
Orville Pl 	All 	899 	901 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Overbrook Rd 	All 	401 	491 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Oxford Ct 	All 	408 	432 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Palmer Ct 	All 	234 	251 	Ridge 	George Washington MS 	Ridgewood High School
Paramus Rd 	All 	215 	240 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Park Slope 	All 	33 	79 	Ridge 	George Washington MS 	Ridgewood High School
Parsons Rd 	All 	700 	850 	Willard 	George Washington MS 	Ridgewood High School
Passaic St 	All 	52 	74 	Orchard 	George Washington MS 	Ridgewood High School
Patricia Ct 	All 	4 	36 	Willard 	George Washington MS 	Ridgewood High School
Paul Ct 	All 	2 	5 	Ridge 	George Washington MS 	Ridgewood High School
Pearsall Ave 	All 	231 	333 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Pershing Ave 	All 	6 	177 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Pershing Ave 	All 	207 	362 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Phelps Rd 	All 	24 	274 	Willard 	George Washington MS 	Ridgewood High School
Pine St 	All 	102 	113 	Willard 	George Washington MS 	Ridgewood High School
Pomander Walk 	All 	20 	66 	Orchard 	George Washington MS 	Ridgewood High School
Ponfield Pl 	All 	353 	433 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Preston Pl 	All 	311 	318 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Prospect St 	All 	22 	254 	Orchard 	George Washington MS 	Ridgewood High School
Prospect St 	Odd 	255 	267 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Prospect St 	Even 	256 	256 	Orchard 	George Washington MS 	Ridgewood High School
Prospect St 	All 	274 	437 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Quackenbush Pl 	All 	410 	430 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
